Training Dataset,Number of Bottlenecks,Number of Dense Layers,Number of Last Layer Parameters,Number of Highest Internal Layer Parameters,Number of Lowest Internal Layer Parameters,Number of Output Features,Number of Convolutional Layers,Origin,Number of Residual Blocks,Number of First Layer Parameters,Number of Pooling Layers,Number of Parameters,Number of Layers,Model,Number of Recurrent Layers,Number of Attention Layers,Crop Percentage,Architecture Family,Number of Normalization Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Year Made,Training Type,Primary Application,Key Distinguishing Feature,Most Common Pooling Type,Most Common Activation Function
ImageNet-1K,8.0,1.0,2049000.0,10382720.0,10382720.0,1000,31.0,timm,0.0,26232.0,2.0,12488672,222,botnet26t_256,0.0,0.0,0.95,botnet,31.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Blocks in ResNet,Average,"ReLU, GeLU"
ImageNet-1K,0.0,229.0,769000.0,255182976.0,1536.0,1000,1.0,timm,0.0,590592.0,0.0,271221352,655,cait_m36_384,0.0,0.0,1.0,cait,77.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,301.0,769000.0,340243968.0,1536.0,1000,1.0,timm,0.0,590592.0,0.0,356460520,859,cait_m48_448,0.0,0.0,1.0,cait,101.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,157.0,385000.0,42590592.0,768.0,1000,1.0,timm,0.0,295296.0,0.0,46916200,451,cait_s24_224,0.0,0.0,1.0,cait,53.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,157.0,385000.0,42590592.0,768.0,1000,1.0,timm,0.0,295296.0,0.0,47062120,451,cait_s24_384,0.0,0.0,1.0,cait,53.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,229.0,385000.0,63885888.0,768.0,1000,1.0,timm,0.0,295296.0,0.0,68366632,655,cait_s36_384,0.0,0.0,1.0,cait,77.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,157.0,289000.0,23979744.0,576.0,1000,1.0,timm,0.0,221472.0,0.0,26670088,451,cait_xs24_384,0.0,0.0,1.0,cait,53.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,157.0,193000.0,10677696.0,384.0,1000,1.0,timm,0.0,147648.0,0.0,11956264,451,cait_xxs24_224,0.0,0.0,1.0,cait,53.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,157.0,193000.0,10677696.0,384.0,1000,1.0,timm,0.0,147648.0,0.0,12029224,451,cait_xxs24_384,0.0,0.0,1.0,cait,53.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,229.0,193000.0,16016544.0,384.0,1000,1.0,timm,0.0,147648.0,0.0,17299720,655,cait_xxs36_224,0.0,0.0,1.0,cait,77.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,229.0,193000.0,16016544.0,384.0,1000,1.0,timm,0.0,147648.0,0.0,17372680,655,cait_xxs36_384,0.0,0.0,1.0,cait,77.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average,GeLU
ImageNet-1K,0.0,33.0,513000.0,6346752.0,640.0,1000,20.0,timm,0.0,3264.0,0.0,11011560,167,coat_lite_mini,0.0,0.0,0.9,coat,21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Co-Scale and Conv-Attentional Mechanisms,Class Token,GeLU
ImageNet-1K,0.0,65.0,513000.0,9520128.0,640.0,1000,20.0,timm,0.0,3264.0,0.0,19838504,287,coat_lite_small,0.0,0.0,0.9,coat,37.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Co-Scale and Conv-Attentional Mechanisms,Class Token,GeLU
ImageNet-1K,0.0,33.0,321000.0,2492160.0,640.0,1000,20.0,timm,0.0,3264.0,0.0,5721960,167,coat_lite_tiny,0.0,0.0,0.9,coat,21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Co-Scale and Conv-Attentional Mechanisms,Class Token,GeLU
