Pooling Layers,Max RF,Highest Internal Layer Parameters,Conv Layers,RF25 Layer Name,Family,Origin,Architecture,MAX RF,Attention Layers,Parameters,Recurrent Layers,Model,Layers,Crop Percentage,Dense Layers,Output Features,RF25 Layer Number,Bottlenecks,Last Layer Parameters,First Layer Parameters,Lowest Internal Layer Parameters,Training Dataset,Residual Blocks,Normalization Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
0.0,,,218.0,,efficientnet,keras,,,0.0,66.658687,0.0,efficientnetb7,81.7,,1.0,1000,,0.0,,,,ImageNet-1K,48.0,163.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,75.0,,efficientnetv2,keras,,,0.0,7.200312,0.0,efficientnetv2-b0,27.3,,1.0,1000,,0.0,,,,ImageNet-1K,15.0,59.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,92.0,,efficientnetv2,keras,,,0.0,8.212124,0.0,efficientnetv2-b1,33.7,,1.0,1000,,0.0,,,,ImageNet-1K,21.0,73.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,96.0,,efficientnetv2,keras,,,0.0,10.178374,0.0,efficientnetv2-b2,35.2,,1.0,1000,,0.0,,,,ImageNet-1K,22.0,76.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,112.0,,efficientnetv2,keras,,,0.0,14.467622,0.0,efficientnetv2-b3,41.2,,1.0,1000,,0.0,,,,ImageNet-1K,26.0,88.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,278.0,,efficientnetv2,keras,,,0.0,119.027848,0.0,efficientnetv2-l,103.1,,1.0,1000,,0.0,,,,ImageNet-1K,73.0,217.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,201.0,,efficientnetv2,keras,,,0.0,54.431388,0.0,efficientnetv2-m,74.3,,1.0,1000,,0.0,,,,ImageNet-1K,51.0,157.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,140.0,,efficientnetv2,keras,,,0.0,21.61236,0.0,efficientnetv2-s,51.6,,1.0,1000,,0.0,,,,ImageNet-1K,35.0,110.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
0.0,,,15.0,,mobilenet,keras,,,0.0,4.253864,0.0,mobilenet,9.1,,0.0,1000,,0.0,,,,ImageNet-1K,0.0,27.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average
0.0,,,35.0,,mobilenet,keras,,,0.0,3.538984,0.0,mobilenet_v2,15.6,,1.0,1000,,0.0,,,,ImageNet-1K,10.0,52.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average
78.0,,,48.0,,nasnet,keras,,,0.0,88.949818,0.0,NASNet_large,104.1,,1.0,1000,,0.0,,,,ImageNet-1K,110.0,264.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average"
60.0,,,36.0,,nasnet,keras,,,0.0,5.326716,0.0,NASNet_mobile,77.1,,1.0,1000,,0.0,,,,ImageNet-1K,80.0,192.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average"
0.0,,,44.0,,regnetx,keras,,,0.0,2.70564,0.0,regnetx002,14.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,71.0,,regnetx,keras,,,0.0,5.194184,0.0,regnetx004,23.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,71.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,53.0,,regnetx,keras,,,0.0,6.22932,0.0,regnetx006,17.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,53.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,53.0,,regnetx,keras,,,0.0,7.296968,0.0,regnetx008,17.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,53.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,59.0,,regnetx,keras,,,0.0,9.23364,0.0,regnetx016,19.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,59.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,80.0,,regnetx,keras,,,0.0,15.359112,0.0,regnetx032,26.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,80.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,74.0,,regnetx,keras,,,0.0,22.194312,0.0,regnetx040,24.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,74.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,56.0,,regnetx,keras,,,0.0,26.283464,0.0,regnetx064,18.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,56.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,74.0,,regnetx,keras,,,0.0,39.663112,0.0,regnetx080,24.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,74.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,62.0,,regnetx,keras,,,0.0,46.20244,0.0,regnetx120,20.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,62.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,71.0,,regnetx,keras,,,0.0,54.389704,0.0,regnetx160,23.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,71.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,74.0,,regnetx,keras,,,0.0,107.973576,0.0,regnetx320,24.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,74.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
0.0,,,70.0,,regnety,keras,,,0.0,3.183844,0.0,regnety002,19.7,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,85.0,,regnety,keras,,,0.0,4.371296,0.0,regnety004,23.9,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,53.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,80.0,,regnety,keras,,,0.0,6.08492,0.0,regnety006,22.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,50.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,75.0,,regnety,keras,,,0.0,6.293056,0.0,regnety008,21.1,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,47.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,140.0,,regnety,keras,,,0.0,11.255102,0.0,regnety016,39.3,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,86.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,110.0,,regnety,keras,,,0.0,19.502498,0.0,regnety032,30.9,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,68.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,115.0,,regnety,keras,,,0.0,20.708928,0.0,regnety040,32.3,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,71.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,130.0,,regnety,keras,,,0.0,30.665684,0.0,regnety064,36.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,80.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,90.0,,regnety,keras,,,0.0,39.265812,0.0,regnety080,25.3,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,56.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,100.0,,regnety,keras,,,0.0,51.918928,0.0,regnety120,28.1,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,62.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,95.0,,regnety,keras,,,0.0,83.712956,0.0,regnety160,26.7,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,59.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
0.0,,,105.0,,regnety,keras,,,0.0,145.205058,0.0,regnety320,29.5,,1.0,1000,,0.0,,,,ImageNet-1K,0.0,65.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
3.0,,,173.0,,resnet,keras,,,0.0,63.724296,0.0,resnet-rs-101,52.9,,1.0,1000,,0.0,,,,ImageNet-1K,33.0,107.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
3.0,,,258.0,,resnet,keras,,,0.0,86.773256,0.0,resnet-rs-152,78.4,,1.0,1000,,0.0,,,,ImageNet-1K,50.0,158.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
3.0,,,338.0,,resnet,keras,,,0.0,93.386248,0.0,resnet-rs-200,109.0,,1.0,1000,,0.0,,,,ImageNet-1K,66.0,206.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
3.0,,,458.0,,resnet,keras,,,0.0,130.10452,0.0,resnet-rs-270,147.4,,1.0,1000,,0.0,,,,ImageNet-1K,90.0,278.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
3.0,,,588.0,,resnet,keras,,,0.0,164.26836,0.0,resnet-rs-350,189.0,,1.0,1000,,0.0,,,,ImageNet-1K,116.0,356.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
3.0,,,703.0,,resnet,keras,,,0.0,192.262216,0.0,resnet-rs-420,225.8,,1.0,1000,,0.0,,,,ImageNet-1K,139.0,425.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
3.0,,,88.0,,resnet,keras,,,0.0,35.745288,0.0,resnet-rs-50,27.4,,1.0,1000,,0.0,,,,ImageNet-1K,16.0,56.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
4.0,,,104.0,,resnet,keras,,,0.0,44.67556,0.0,resnet101v2,37.9,,1.0,1000,,0.0,,,,ImageNet-1K,33.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
4.0,,,155.0,,resnet,keras,,,0.0,60.380648,0.0,resnet152v2,56.6,,1.0,1000,,0.0,,,,ImageNet-1K,50.0,151.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
4.0,,,53.0,,resnet,keras,,,0.0,25.6138,0.0,resnet50v2,19.2,,1.0,1000,,0.0,,,,ImageNet-1K,16.0,49.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
4.0,,,19.0,conv,unet,pytorch,,1,0.0,7.763041,0.0,brain-segmentation-pytorch,7.3,,0.0,1,1,0.0,,,,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Segmentation,U-shaped Architecture for Segmentation,Max
,,,,,vgg,tfhub,,,,15.304768,,vgg19-block5-conv2-unpooling-encoder,0.2,,,512,,,,,,COCO,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max
,,,,,vgg,tfhub,,,,5.865536,,vgg19-block4-conv2-unpooling-encoder,0.2,,,512,,,,,,COCO,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max
,,,,,vgg,tfhub,,,,0.03872,,vgg19-block1-conv2-unpooling-encoder,0.1,,,512,,,,,,COCO,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max
2.0,,6076800.0,94.0,,inception_v3,timm,adv_inception_v3,,0.0,23.834568,0.0,adv_inception_v3,30.0,0.875,1.0,1000,,0.0,2049000.0,928.0,5280.0,ImageNet-1K,0.0,94.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,Image Classification,"Label Smoothing, Factorized Convolutions","Max, Average"
1.0,,8619456.0,79.0,,resnext,timm,bat_resnext26ts,,0.0,10.7312,0.0,bat_resnext26ts,41.4,0.9,1.0,1000,,8.0,2049000.0,26232.0,8619456.0,ImageNet-1K,0.0,63.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average"
0.0,,85026816.0,1.0,,beit,timm,beit_base_patch16_224,,12.0,86.530984,0.0,beit_base_patch16_224,18.9,0.9,49.0,1000,,0.0,769000.0,590592.0,1536.0,ImageNet-1K,0.0,25.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
0.0,,85026816.0,1.0,,beit,timm,beit_base_patch16_384,,12.0,86.744104,0.0,beit_base_patch16_384,18.9,1.0,49.0,1000,,0.0,769000.0,590592.0,1536.0,ImageNet-1K,0.0,25.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
0.0,,302235648.0,1.0,,beit,timm,beit_large_patch16_224,,24.0,304.430568,0.0,beit_large_patch16_224,36.9,0.9,97.0,1000,,0.0,1025000.0,787456.0,2048.0,ImageNet-1K,0.0,49.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
0.0,,302235648.0,1.0,,beit,timm,beit_large_patch16_384,,24.0,304.998888,0.0,beit_large_patch16_384,36.9,1.0,97.0,1000,,0.0,1025000.0,787456.0,2048.0,ImageNet-1K,0.0,49.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
0.0,,302235648.0,1.0,,beit,timm,beit_large_patch16_512,,24.0,305.674728,0.0,beit_large_patch16_512,36.9,1.0,97.0,1000,,0.0,1025000.0,787456.0,2048.0,ImageNet-1K,0.0,49.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average
0.0,,85026816.0,1.0,,beitv2,timm,beitv2_base_patch16_224,,12.0,86.530984,0.0,beitv2_base_patch16_224,18.9,0.9,49.0,1000,,0.0,769000.0,590592.0,1536.0,ImageNet-1K,0.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Improvements in Self-Supervised Learning,Class Token
0.0,,302235648.0,1.0,,beitv2,timm,beitv2_large_patch16_224,,24.0,304.430568,0.0,beitv2_large_patch16_224,36.9,0.95,97.0,1000,,0.0,1025000.0,787456.0,2048.0,ImageNet-1K,0.0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Improvements in Self-Supervised Learning,Class Token
2.0,,10382720.0,31.0,,botnet,timm,botnet26t_256,,0.0,12.488672,0.0,botnet26t_256,22.2,0.95,1.0,1000,,8.0,2049000.0,26232.0,10382720.0,ImageNet-1K,0.0,31.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Blocks in ResNet,Average
0.0,,255182976.0,1.0,,cait,timm,cait_m36_384,,0.0,271.221352,0.0,cait_m36_384,65.5,1.0,229.0,1000,,0.0,769000.0,590592.0,1536.0,ImageNet-1K,0.0,77.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
0.0,,340243968.0,1.0,,cait,timm,cait_m48_448,,0.0,356.46052,0.0,cait_m48_448,85.9,1.0,301.0,1000,,0.0,769000.0,590592.0,1536.0,ImageNet-1K,0.0,101.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
0.0,,42590592.0,1.0,,cait,timm,cait_s24_224,,0.0,46.9162,0.0,cait_s24_224,45.1,1.0,157.0,1000,,0.0,385000.0,295296.0,768.0,ImageNet-1K,0.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
0.0,,42590592.0,1.0,,cait,timm,cait_s24_384,,0.0,47.06212,0.0,cait_s24_384,45.1,1.0,157.0,1000,,0.0,385000.0,295296.0,768.0,ImageNet-1K,0.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
0.0,,63885888.0,1.0,,cait,timm,cait_s36_384,,0.0,68.366632,0.0,cait_s36_384,65.5,1.0,229.0,1000,,0.0,385000.0,295296.0,768.0,ImageNet-1K,0.0,77.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
0.0,,23979744.0,1.0,,cait,timm,cait_xs24_384,,0.0,26.670088,0.0,cait_xs24_384,45.1,1.0,157.0,1000,,0.0,289000.0,221472.0,576.0,ImageNet-1K,0.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
0.0,,10677696.0,1.0,,cait,timm,cait_xxs24_224,,0.0,11.956264,0.0,cait_xxs24_224,45.1,1.0,157.0,1000,,0.0,193000.0,147648.0,384.0,ImageNet-1K,0.0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2021.0,Supervised,"Image Classification, Image Segmentation",Class Attention Mechanism,Average
