Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Max RF,Family
imagenet/mobilenet_v3_small_075_224/feature_vector,1026552,1,NA,NA,NA,NA,NA,NA,NA,1024,ImageNet-1K,NA,NA,NA,mobilenetv3
bit/m-r101x1,42492480,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/mobilenet_v2_140_224/feature_vector,4363712,1,NA,NA,NA,NA,NA,NA,NA,1792,ImageNet-1K,NA,NA,NA,mobilenetv2
imagenet/mobilenet_v3_small_100_224/feature_vector,1529968,1,NA,NA,NA,NA,NA,NA,NA,1024,ImageNet-1K,NA,NA,NA,mobilenetv3
imagenet/pnasnet_large/feature_vector,81913656,1,NA,NA,NA,NA,NA,NA,NA,4320,ImageNet-1K,NA,NA,NA,nasnet
cropnet/feature_vector/concat,15581216,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv3
imagenet/efficientnet_v2_imagenet21k_b3/feature_vector,12930622,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
inaturalist/inception_v3/feature_vector,21802784,1,NA,NA,NA,NA,NA,NA,NA,2048,UNKNOWN,NA,NA,NA,inception
imagenet/mobilenet_v3_large_100_224/feature_vector,4226432,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv3
imagenet/efficientnet_v2_imagenet21k_s/feature_vector,20331360,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/efficientnet_v2_imagenet21k_m/feature_vector,53150388,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/inception_v3/feature_vector,21802784,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,inception
imagenet/mobilenet_v2_100_224/feature_vector,2257984,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv2
imagenet/resnet_v1_50/feature_vector,23561152,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnet
imagenet/efficientnet_v2_imagenet1k_s/feature_vector,20331360,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/efficientnet_v2_imagenet21k_b0/feature_vector,5919312,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/resnet_v2_50/feature_vector,23564800,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
bit/m-r50x1,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/efficientnet_v2_imagenet21k_xl/feature_vector,207615832,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/efficientnet_v2_imagenet1k_b0/feature_vector,5919312,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
efficientnet/b0/feature-vector,4049564,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnet
efficientnet/b1/feature-vector,6575232,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnet
efficientnet/b4/feature-vector,17673816,1,NA,NA,NA,NA,NA,NA,NA,1792,ImageNet-1K,NA,NA,NA,efficientnet
efficientnet/b5/feature-vector,28513520,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,efficientnet
efficientnet/b2/feature-vector,7768562,1,NA,NA,NA,NA,NA,NA,NA,1408,ImageNet-1K,NA,NA,NA,efficientnet
efficientnet/b3/feature-vector,10783528,1,NA,NA,NA,NA,NA,NA,NA,1536,ImageNet-1K,NA,NA,NA,efficientnet
efficientnet/b7/feature-vector,64097680,1,NA,NA,NA,NA,NA,NA,NA,2560,ImageNet-1K,NA,NA,NA,efficientnet
resnet_50/feature_vector,23561152,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnet
