Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Attention Layers,Output Features,Training Dataset,First Layer Parameters,Highest Internal Layer Parameters,Lowest Internal Layer Parameters,Last Layer Parameters,Family,Architecture,Crop Percentage
coat_tiny,5498540,345,0,20,81,0,0,59,0,0,1000,ImageNet-1K,7752,2883744,4,153000,coat,coat_tiny,0.9
coatnet_0_rw_224,27435562,333,0,67,1,0,8,35,0,18,1000,ImageNet-1K,19360,26634146,1536,769000,coatnet,coatnet_0_rw_224,0.95
coatnet_1_rw_224,41721502,535,0,110,1,0,6,58,0,32,1000,ImageNet-1K,19360,40909718,1536,769000,coatnet,coatnet_1_rw_224,0.95
coatnet_bn_0_rw_224,27435562,329,0,67,1,0,6,35,0,18,1000,ImageNet-1K,19360,26634146,1536,769000,coatnet,coatnet_bn_0_rw_224,0.95
coatnet_nano_rw_224,15141244,377,0,76,1,0,8,41,0,18,1000,ImageNet-1K,19360,14596340,1024,513000,coatnet,coatnet_nano_rw_224,0.9
coatnet_rmlp_1_rw_224,41691982,651,0,110,33,0,8,58,0,32,1000,ImageNet-1K,19360,40880198,1536,769000,coatnet,coatnet_rmlp_1_rw_224,0.95
coatnet_rmlp_nano_rw_224,15145116,436,0,76,19,0,6,41,0,18,1000,ImageNet-1K,19360,14600212,1024,513000,coatnet,coatnet_rmlp_nano_rw_224,0.9
convit_base,86540040,208,0,1,69,0,0,25,0,0,1000,ImageNet-1K,590592,85027456,1536,769000,convit,convit_base,None
convit_small,27777322,208,0,1,69,0,0,25,0,0,1000,ImageNet-1K,332208,26926056,864,433000,convit,convit_small,None
convit_tiny,5710512,208,0,1,69,0,0,25,0,0,1000,ImageNet-1K,147648,5331616,384,193000,convit,convit_tiny,None
convmixer_768_32,21110248,298,0,65,1,0,0,65,0,0,1000,ImageNet-1K,115200,20226048,20226048,769000,convmixer,convmixer_768_32,0.96
convmixer_1024_20_ks9_p14,24383464,190,0,41,1,0,0,41,0,0,1000,ImageNet-1K,605184,22753280,22753280,1025000,convmixer,convmixer_1024_20_ks9_p14,0.96
convmixer_1536_20,51625960,190,0,41,1,0,0,41,0,0,1000,ImageNet-1K,230400,49858560,49858560,1537000,convmixer,convmixer_1536_20,0.96
convnext_atto,3695520,152,0,40,1,0,0,17,0,0,1000,ImageNet-1K,2040,3370000,3370000,321640,convnext,convnext_atto,0.875
convnext_atto_ols,3702912,153,0,41,1,0,0,17,0,0,1000,ImageNet-1K,9432,3370000,3370000,321640,convnext,convnext_atto_ols,0.875
convnext_base,88591464,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,6528,87539840,87539840,1027048,convnext,convnext_base,0.875
convnext_base_384_in22ft1k,88591464,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,6528,87539840,87539840,1027048,convnext,convnext_base_384_in22ft1k,1.0
convnext_base_in22ft1k,88591464,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,6528,87539840,87539840,1027048,convnext,convnext_base_in22ft1k,0.875
convnext_base_in22k,109953489,392,0,40,73,0,0,41,0,0,21841,ImageNet-21K,6528,87539840,87539840,22389073,convnext,convnext_base_in22k,0.875
convnext_femto,5217784,152,0,40,1,0,0,17,0,0,1000,ImageNet-1K,2448,4827360,4827360,385768,convnext,convnext_femto,0.875
convnext_femto_ols,5226520,153,0,41,1,0,0,17,0,0,1000,ImageNet-1K,11184,4827360,4827360,385768,convnext,convnext_femto_ols,0.875
convnext_large,197767336,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,9792,196190400,196190400,1540072,convnext,convnext_large,0.875
convnext_large_384_in22ft1k,197767336,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,9792,196190400,196190400,1540072,convnext,convnext_large_384_in22ft1k,1.0
convnext_large_in22ft1k,197767336,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,9792,196190400,196190400,1540072,convnext,convnext_large_in22ft1k,0.875
convnext_large_in22k,229799953,392,0,40,73,0,0,41,0,0,21841,ImageNet-21K,9792,196190400,196190400,33572689,convnext,convnext_large_in22k,0.875
convnext_nano,15593560,172,0,46,1,0,0,19,0,0,1000,ImageNet-1K,4080,14942880,14942880,642280,convnext,convnext_nano,0.95
convnext_nano_ols,15649560,173,0,47,1,0,0,19,0,0,1000,ImageNet-1K,60080,14942880,14942880,642280,convnext,convnext_nano_ols,0.95
convnext_pico,9045672,152,0,40,1,0,0,17,0,0,1000,ImageNet-1K,3264,8525440,8525440,514024,convnext,convnext_pico,0.875
convnext_pico_ols,9061928,153,0,41,1,0,0,17,0,0,1000,ImageNet-1K,19520,8525440,8525440,514024,convnext,convnext_pico_ols,0.95
convnext_small,50223688,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,4896,49434720,49434720,770536,convnext,convnext_small,0.875
convnext_small_384_in22ft1k,50223688,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,4896,49434720,49434720,770536,convnext,convnext_small_384_in22ft1k,1.0
convnext_small_in22ft1k,50223688,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,4896,49434720,49434720,770536,convnext,convnext_small_in22ft1k,0.875
convnext_small_in22k,66250417,392,0,40,73,0,0,41,0,0,21841,ImageNet-21K,4896,49434720,49434720,16797265,convnext,convnext_small_in22k,0.875
convnext_tiny,28589128,212,0,22,37,0,0,23,0,0,1000,ImageNet-1K,4896,27807072,27807072,770536,convnext,convnext_tiny,0.875
convnext_tiny_384_in22ft1k,28589128,212,0,22,37,0,0,23,0,0,1000,ImageNet-1K,4896,27807072,27807072,770536,convnext,convnext_tiny_384_in22ft1k,1.0
convnext_tiny_hnf,28589128,212,0,58,1,0,0,23,0,0,1000,ImageNet-1K,4896,27807072,1536,769000,convnext,convnext_tiny_hnf,0.95
convnext_tiny_in22ft1k,28589128,212,0,22,37,0,0,23,0,0,1000,ImageNet-1K,4896,27807072,27807072,770536,convnext,convnext_tiny_in22ft1k,0.875
convnext_tiny_in22k,44615857,212,0,22,37,0,0,23,0,0,21841,ImageNet-21K,4896,27807072,27807072,16797265,convnext,convnext_tiny_in22k,0.875
convnext_xlarge_384_in22ft1k,350196968,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,13056,348094720,348094720,2053096,convnext,convnext_xlarge_384_in22ft1k,1.0
convnext_xlarge_in22ft1k,350196968,392,0,40,73,0,0,41,0,0,1000,ImageNet-1K,13056,348094720,348094720,2053096,convnext,convnext_xlarge_in22ft1k,0.875
convnext_xlarge_in22k,392900177,392,0,40,73,0,0,41,0,0,21841,ImageNet-21K,13056,348094720,348094720,44756305,convnext,convnext_xlarge_in22k,0.875
crossvit_9_240,8553296,359,0,2,86,0,0,44,0,24,1000,ImageNet-1K,252288,7812096,768,386000,crossvit,crossvit_9_240,0.875
crossvit_9_dagger_240,8776592,369,0,6,86,0,0,44,0,24,1000,ImageNet-1K,475584,7812096,768,386000,crossvit,crossvit_9_dagger_240,0.875
crossvit_15_240,27528464,467,0,2,110,0,0,56,0,30,1000,ImageNet-1K,378432,26417664,1152,578000,crossvit,crossvit_15_240,0.875
crossvit_15_dagger_240,28209008,477,0,6,110,0,0,56,0,30,1000,ImageNet-1K,1058976,26417664,1152,578000,crossvit,crossvit_15_dagger_240,0.875
crossvit_15_dagger_408,28500080,477,0,6,110,0,0,56,0,30,1000,ImageNet-1K,1058976,26417664,1152,578000,crossvit,crossvit_15_dagger_408,1.0
crossvit_18_240,43271408,521,0,2,122,0,0,62,0,33,1000,ImageNet-1K,441504,41975808,1344,674000,crossvit,crossvit_18_240,0.875
crossvit_18_dagger_240,44266976,531,0,6,122,0,0,62,0,33,1000,ImageNet-1K,1437072,41975808,1344,674000,crossvit,crossvit_18_dagger_240,0.875
crossvit_18_dagger_408,44606560,531,0,6,122,0,0,62,0,33,1000,ImageNet-1K,1437072,41975808,1344,674000,crossvit,crossvit_18_dagger_408,1.0
crossvit_base_240,105025232,413,0,2,98,0,0,50,0,27,1000,ImageNet-1K,756864,102805632,2304,1154000,crossvit,crossvit_base_240,0.875
crossvit_small_240,26856272,413,0,2,98,0,0,50,0,27,1000,ImageNet-1K,378432,25745472,1152,578000,crossvit,crossvit_small_240,0.875
crossvit_tiny_240,7014800,413,0,2,98,0,0,50,0,27,1000,ImageNet-1K,189216,6458400,576,290000,crossvit,crossvit_tiny_240,0.875
cs3darknet_focus_l,21151720,359,0,55,1,0,0,55,0,0,1000,ImageNet-1K,7040,20090880,20090880,1025000,darknet,cs3darknet_focus_l,0.887
cs3darknet_focus_m,9304360,268,0,41,1,0,0,41,0,0,1000,ImageNet-1K,5280,8513280,8513280,769000,darknet,cs3darknet_focus_m,0.887
cs3darknet_l,21164168,364,0,56,1,0,0,56,0,0,1000,ImageNet-1K,19488,20090880,20090880,1025000,darknet,cs3darknet_l,0.887
cs3darknet_m,9310240,273,0,42,1,0,0,42,0,0,1000,ImageNet-1K,11160,8513280,8513280,769000,darknet,cs3darknet_m,0.887
cs3darknet_x,35046320,403,0,62,1,0,0,62,0,0,1000,ImageNet-1K,30120,33696000,33696000,1281000,darknet,cs3darknet_x,0.95
cs3edgenet_x,47821120,403,0,62,1,0,0,62,0,0,1000,ImageNet-1K,30120,46464000,46464000,1281000,edgenet,cs3edgenet_x,0.887
cs3se_edgenet_x,50721584,523,0,110,1,0,0,62,0,0,1000,ImageNet-1K,30120,49364464,49364464,1281000,edgenet,cs3se_edgenet_x,0.95
cs3sedarknet_l,21913592,469,0,98,1,0,0,56,0,0,1000,ImageNet-1K,19488,20840304,20840304,1025000,darknet,cs3sedarknet_l,0.887
cs3sedarknet_x,35397904,523,0,110,1,0,0,62,0,0,1000,ImageNet-1K,30120,34047584,34047584,1281000,darknet,cs3sedarknet_x,0.887
cspdarknet53,27642184,428,0,67,1,0,0,67,0,0,1000,ImageNet-1K,928,26580992,26580992,1025000,darknet,cspdarknet53,0.887
cspresnet50,21616168,362,0,55,1,13,1,55,0,0,1000,ImageNet-1K,9536,20541440,20541440,1025000,resnet,cspresnet50,0.887
cspresnext50,20569896,362,0,55,1,13,1,55,0,0,1000,ImageNet-1K,9536,18454016,18454016,2049000,resnext,cspresnext50,0.887
darknet53,41609928,353,0,52,1,0,0,52,0,0,1000,ImageNet-1K,928,40548352,40548352,1025000,darknet,darknet53,0.887
darknetaa53,36022984,363,0,52,1,0,5,52,0,0,1000,ImageNet-1K,928,34961408,34961408,1025000,darknet,darknetaa53,0.887
deit3_base_patch16_224,86585320,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,590592,85072896,1536,769000,deit3,deit3_base_patch16_224,0.9
deit3_base_patch16_224_in21ft1k,86585320,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,590592,85072896,1536,769000,deit3,deit3_base_patch16_224_in21ft1k,1.0
deit3_base_patch16_384,86877160,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,590592,85072896,1536,769000,deit3,deit3_base_patch16_384,1.0
deit3_base_patch16_384_in21ft1k,86877160,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,590592,85072896,1536,769000,deit3,deit3_base_patch16_384_in21ft1k,1.0
deit3_huge_patch14_224,632126440,586,0,1,129,0,0,65,0,33,1000,ImageNet-1K,753920,629760000,2560,1281000,deit3,deit3_huge_patch14_224,0.9
deit3_huge_patch14_224_in21ft1k,632126440,586,0,1,129,0,0,65,0,33,1000,ImageNet-1K,753920,629760000,2560,1281000,deit3,deit3_huge_patch14_224_in21ft1k,1.0
deit3_large_patch16_224,304374760,442,0,1,97,0,0,49,0,25,1000,ImageNet-1K,787456,302358528,2048,1025000,deit3,deit3_large_patch16_224,0.9
deit3_large_patch16_224_in21ft1k,304374760,442,0,1,97,0,0,49,0,25,1000,ImageNet-1K,787456,302358528,2048,1025000,deit3,deit3_large_patch16_224_in21ft1k,1.0
deit3_large_patch16_384,304763880,442,0,1,97,0,0,49,0,25,1000,ImageNet-1K,787456,302358528,2048,1025000,deit3,deit3_large_patch16_384,1.0
deit3_large_patch16_384_in21ft1k,304763880,442,0,1,97,0,0,49,0,25,1000,ImageNet-1K,787456,302358528,2048,1025000,deit3,deit3_large_patch16_384_in21ft1k,1.0
deit3_medium_patch16_224,38849512,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,393728,37840896,1024,513000,deit3,deit3_medium_patch16_224,0.9
deit3_medium_patch16_224_in21ft1k,38849512,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,393728,37840896,1024,513000,deit3,deit3_medium_patch16_224_in21ft1k,1.0
deit3_small_patch16_224,22059496,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,295296,21302784,768,385000,deit3,deit3_small_patch16_224,0.9
deit3_small_patch16_224_in21ft1k,22059496,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,295296,21302784,768,385000,deit3,deit3_small_patch16_224_in21ft1k,1.0
deit3_small_patch16_384,22205416,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,295296,21302784,768,385000,deit3,deit3_small_patch16_384,1.0
deit3_small_patch16_384_in21ft1k,22205416,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,295296,21302784,768,385000,deit3,deit3_small_patch16_384_in21ft1k,1.0
deit_base_distilled_patch16_224,87338192,227,0,1,50,0,0,25,0,13,1000,ImageNet-1K,590592,85054464,1536,769000,deit,deit_base_distilled_patch16_224,0.9
deit_base_distilled_patch16_384,87630032,227,0,1,50,0,0,25,0,13,1000,ImageNet-1K,590592,85054464,1536,769000,deit,deit_base_distilled_patch16_384,1.0
deit_base_patch16_224,86567656,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,590592,85054464,1536,769000,deit,deit_base_patch16_224,0.9
deit_base_patch16_384,86859496,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,590592,85054464,1536,769000,deit,deit_base_patch16_384,1.0
deit_small_distilled_patch16_224,22436432,227,0,1,50,0,0,25,0,13,1000,ImageNet-1K,295296,21293568,768,385000,deit,deit_small_distilled_patch16_224,0.9
deit_small_patch16_224,22050664,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,295296,21293568,768,385000,deit,deit_small_patch16_224,0.9
deit_tiny_distilled_patch16_224,5910800,227,0,1,50,0,0,25,0,13,1000,ImageNet-1K,147648,5338368,384,193000,deit,deit_tiny_distilled_patch16_224,0.9
deit_tiny_patch16_224,5717416,226,0,1,49,0,0,25,0,13,1000,ImageNet-1K,147648,5338368,384,193000,deit,deit_tiny_patch16_224,0.9
densenet121,7978856,558,0,120,1,0,4,121,0,0,1000,ImageNet-1K,6953856,N/A,N/A,1025000,densenet,densenet121,0.875
densenet161,28681000,738,0,160,1,0,4,161,0,0,1000,ImageNet-1K,26472000,N/A,N/A,2209000,densenet,densenet161,0.875
densenet169,14149480,774,0,168,1,0,4,169,0,0,1000,ImageNet-1K,12484480,N/A,N/A,1665000,densenet,densenet169,0.875
densenet201,20013928,918,0,200,1,0,4,201,0,0,1000,ImageNet-1K,18092928,N/A,N/A,1921000,densenet,densenet201,0.875
densenetblur121d,7998088,568,0,122,1,0,4,123,0,0,1000,ImageNet-1K,6973088,N/A,N/A,1025000,densenet,densenetblur121d,0.875
dla34,15742104,146,0,38,0,0,6,37,0,0,1000,ImageNet-1K,2384,9050112,2336,0,dla,dla34,0.875
dla46_c,1301400,168,0,49,0,12,6,48,0,0,1000,ImageNet-1K,2384,609280,2336,0,dla,dla46_c,0.875
dla46x_c,1068440,168,0,49,0,12,6,48,0,0,1000,ImageNet-1K,2384,466944,2336,0,dla,dla46x_c,0.875
dla60,22036632,222,0,64,0,16,7,63,0,0,1000,ImageNet-1K,2384,9917440,2336,0,dla,dla60,0.875
dla60_res2net,20848072,322,0,96,0,0,11,95,0,0,1000,ImageNet-1K,2384,9436416,2336,0,res2net,dla60_res2net,0.875
dla60_res2next,17032984,322,0,96,0,0,11,95,0,0,1000,ImageNet-1K,2384,7678976,2336,0,res2next,dla60_res2next,0.875
dla60x,17352344,222,0,64,0,16,7,63,0,0,1000,ImageNet-1K,2384,7828480,2336,0,dla,dla60x,0.875
dla60x_c,1319832,220,0,63,0,16,7,62,0,0,1000,ImageNet-1K,2384,494848,2336,0,dla,dla60x_c,0.875
dla102,33268888,378,0,106,0,28,9,105,0,0,1000,ImageNet-1K,2384,19899392,2336,0,dla,dla102,0.875
dla102x,26309272,378,0,106,0,28,9,105,0,0,1000,ImageNet-1K,2384,15787008,2336,0,dla,dla102x,0.875
dla102x2,41282200,378,0,106,0,28,9,105,0,0,1000,ImageNet-1K,2384,25256960,2336,0,dla,dla102x2,0.875
dla169,53389720,612,0,169,0,46,11,168,0,0,1000,ImageNet-1K,2384,39863296,2336,0,dla,dla169,0.875
dm_nfnet_f0,71489284,226,0,81,1,0,3,0,0,0,1000,ImageNet-1K,97680,63593856,4724736,3073000,nfnet,dm_nfnet_f0,0.9
dm_nfnet_f1,132634256,418,0,153,1,0,3,0,0,0,1000,ImageNet-1K,97680,124738816,4724736,3073000,nfnet,dm_nfnet_f1,0.91
dm_nfnet_f2,193779228,610,0,225,1,0,3,0,0,0,1000,ImageNet-1K,97680,185883776,4724736,3073000,nfnet,dm_nfnet_f2,0.92
dm_nfnet_f3,254924200,802,0,297,1,0,3,0,0,0,1000,ImageNet-1K,97680,247028736,4724736,3073000,nfnet,dm_nfnet_f3,0.94
dm_nfnet_f4,316069172,994,0,369,1,0,3,0,0,0,1000,ImageNet-1K,97680,308173696,4724736,3073000,nfnet,dm_nfnet_f4,0.951
dm_nfnet_f5,377214144,1186,0,441,1,0,3,0,0,0,1000,ImageNet-1K,97680,369318656,4724736,3073000,nfnet,dm_nfnet_f5,0.954
dm_nfnet_f6,438359116,1378,0,513,1,0,3,0,0,0,1000,ImageNet-1K,97680,430463616,4724736,3073000,nfnet,dm_nfnet_f6,0.956
dpn68,12611602,389,0,72,0,0,1,72,0,0,1000,ImageNet-1K,11778602,833000,833000,0,dpn,dpn68,0.875
dpn68b,12611602,411,0,94,0,0,1,72,0,0,1000,ImageNet-1K,11778602,833000,833000,0,dpn,dpn68b,0.875
dpn92,37668392,517,0,96,0,0,1,96,0,0,1000,ImageNet-1K,34979392,2689000,2689000,0,dpn,dpn92,0.875
dpn98,61570728,549,0,102,0,0,1,102,0,0,1000,ImageNet-1K,58881728,2689000,2689000,0,dpn,dpn98,0.875
dpn107,86917800,597,0,111,0,0,1,111,0,0,1000,ImageNet-1K,84228800,2689000,2689000,0,dpn,dpn107,0.875
dpn131,79254504,725,0,135,0,0,1,135,0,0,1000,ImageNet-1K,76565504,2689000,2689000,0,dpn,dpn131,0.875
eca_botnext26ts_256,10593301,232,0,31,1,8,2,31,0,0,1000,ImageNet-1K,26232,8487349,8487349,2049000,botnext,eca_botnext26ts_256,0.95
eca_halonext26ts,10756885,235,0,34,1,5,1,31,0,0,1000,ImageNet-1K,26232,8650933,8650933,2049000,halonext,eca_halonext26ts,0.94
eca_nfnet_l0,24143924,190,0,57,1,0,3,0,0,0,1000,ImageNet-1K,97680,18197692,3543552,2305000,nfnet,eca_nfnet_l0,1.0
eca_nfnet_l1,41407728,346,0,105,1,0,3,0,0,0,1000,ImageNet-1K,97680,33512312,4724736,3073000,nfnet,eca_nfnet_l1,1.0
eca_nfnet_l2,56722348,502,0,153,1,0,3,0,0,0,1000,ImageNet-1K,97680,48826932,4724736,3073000,nfnet,eca_nfnet_l2,1.0
eca_resnet33ts,19676302,289,0,38,1,10,0,38,0,0,1000,ImageNet-1K,26232,16363566,1966080,1281000,resnet,eca_resnet33ts,0.9
eca_resnext26ts,10297988,238,0,31,1,8,1,31,0,0,1000,ImageNet-1K,26232,8192036,8192036,2049000,resnext,eca_resnext26ts,0.9
ecaresnet26t,16011916,156,8,31,1,8,4,31,0,0,1000,ImageNet-1K,26104,10502158,128,2049000,resnet,ecaresnet26t,0.95
ecaresnet50d,25576350,276,16,55,1,16,4,55,0,0,1000,ImageNet-1K,28640,14964757,128,2049000,resnet,ecaresnet50d,0.875
ecaresnet50d_pruned,19939713,276,16,55,1,16,4,55,0,0,1000,ImageNet-1K,28640,12241013,128,2023000,resnet,ecaresnet50d_pruned,0.875
ecaresnet50t,25573814,276,16,55,1,16,4,55,0,0,1000,ImageNet-1K,26104,14964757,128,2049000,resnet,ecaresnet50t,0.95
ecaresnet101d,44568563,531,33,106,1,33,4,106,0,0,1000,ImageNet-1K,28640,26090611,128,2049000,resnet,ecaresnet101d,0.875
ecaresnet101d_pruned,24876040,531,33,106,1,33,4,106,0,0,1000,ImageNet-1K,28640,11450552,128,2043000,resnet,ecaresnet101d_pruned,0.875
ecaresnet269d,102093077,1371,89,274,1,89,4,274,0,0,1000,ImageNet-1K,28640,54020336,128,2049000,resnet,ecaresnet269d,1.0
ecaresnetlight,30162046,269,16,53,1,16,4,53,0,0,1000,ImageNet-1K,9408,14964757,128,2049000,resnet,ecaresnetlight,0.875
edgenext_base,18511292,238,0,26,43,0,0,26,0,0,1000,ImageNet-1K,4080,17914924,17914924,586168,edgenext,edgenext_base,0.95
edgenext_small,5586832,238,0,26,43,0,0,26,0,0,1000,ImageNet-1K,2448,5275408,5275408,305608,edgenext,edgenext_small,0.95
edgenext_small_rw,7826512,232,0,23,43,0,0,23,0,0,1000,ImageNet-1K,11760,7424976,7424976,385768,edgenext,edgenext_small_rw,0.9
edgenext_x_small,2336804,238,0,26,43,0,0,26,0,0,1000,ImageNet-1K,1632,2139656,2139656,193384,edgenext,edgenext_x_small,0.9
edgenext_xx_small,1327216,178,0,20,31,0,0,20,0,0,1000,ImageNet-1K,1224,1155332,1155332,169336,edgenext,edgenext_xx_small,0.9
efficientformer_l1,12289928,228,0,33,6,0,14,36,0,1,1000,ImageNet-1K,11232,11379408,896,449000,efficientformer,efficientformer_l1,0.95
efficientformer_l3,31406000,377,0,49,18,0,22,58,0,4,1000,ImageNet-1K,19584,30357824,1024,513000,efficientformer,efficientformer_l3,0.95
efficientformer_l7,82229328,541,0,65,34,0,30,82,0,8,1000,ImageNet-1K,43200,80643456,1536,769000,efficientformer,efficientformer_l7,0.95
efficientnet_b0,5288548,321,0,81,1,0,0,49,0,0,1000,ImageNet-1K,864,3555068,409600,1281000,efficientnet,efficientnet_b0,0.875
efficientnet_b1,7794184,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,6040672,409600,1281000,efficientnet,efficientnet_b1,1.0
efficientnet_b1_pruned,6331916,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,4596406,409600,1281000,efficientnet,efficientnet_b1_pruned,0.882
efficientnet_b2,9109994,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,7136946,495616,1409000,efficientnet,efficientnet_b2,1.0
efficientnet_b2_pruned,8309737,450,0,115,1,0,0,69,0,0,1000,ImageNet-1K,864,6348103,495616,1409000,efficientnet,efficientnet_b2_pruned,0.89
efficientnet_b3,12233232,507,0,130,1,0,0,78,0,0,1000,ImageNet-1K,1080,10018032,589824,1537000,efficientnet,efficientnet_b3,1.0
efficientnet_b3_pruned,9855020,507,0,130,1,0,0,78,0,0,1000,ImageNet-1K,1080,7665274,589824,1537000,efficientnet,efficientnet_b3_pruned,0.904
