Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
mobilevitv2_200_in22ft1k,18449329,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_200_in22ft1k,0.888,levit
mvitv2_base,51472744,502,0,73,100,0,3,121,24,1000,ImageNet-1K,39,stages.2.blocks.6.attn.pool_v,mvitv2_base,0.9,mvit
mvitv2_large,217992952,982,0,145,196,0,3,241,48,1000,ImageNet-1K,66,stages.2.blocks.12.attn.pool_v,mvitv2_large,0.9,mvit
mvitv2_small,34870216,342,0,49,68,0,3,81,16,1000,ImageNet-1K,26,stages.2.blocks.4.attn.pool_k,mvitv2_small,0.9,mvit
mvitv2_tiny,24173320,222,0,31,44,0,3,51,10,1000,ImageNet-1K,21,stages.2.blocks.2.attn.pool_v,mvitv2_tiny,0.9,mvit
nasnetalarge,88753150,1505,0,488,1,0,78,264,0,1000,ImageNet-1K,389,cell_13.comb_iter_0_left.separable_1.depthwise_conv2d,nasnetalarge,0.911,nasnet
nf_regnet_b1,10223984,308,0,106,1,0,4,0,0,1000,ImageNet-1K,51,stages.2.3.conv2,nf_regnet_b1,0.9,regnet
nf_resnet50,25557032,157,0,53,1,0,4,0,0,1000,ImageNet-1K,28,stages.2.0.conv2,nf_resnet50,0.94,resnet
nfnet_l0,35074488,226,0,81,1,0,3,0,0,1000,ImageNet-1K,34,stages.2.1.conv2b,nfnet_l0,1.0,nfnet
pit_b_224,73764840,256,0,3,55,0,0,27,17,1000,ImageNet-1K,1,patch_embed.conv,pit_b_224,0.9,pit
pit_b_distilled_224,74790096,257,0,3,56,0,0,27,17,1000,ImageNet-1K,1,patch_embed.conv,pit_b_distilled_224,0.9,pit
pit_s_224,23461912,238,0,3,51,0,0,25,16,1000,ImageNet-1K,1,patch_embed.conv,pit_s_224,0.9,pit
pit_s_distilled_224,24039056,239,0,3,52,0,0,25,16,1000,ImageNet-1K,1,patch_embed.conv,pit_s_distilled_224,0.9,pit
pit_ti_224,4847272,238,0,3,51,0,0,25,16,1000,ImageNet-1K,1,patch_embed.conv,pit_ti_224,0.9,pit
pit_ti_distilled_224,5104336,239,0,3,52,0,0,25,16,1000,ImageNet-1K,1,patch_embed.conv,pit_ti_distilled_224,0.9,pit
pit_xs_224,10618888,238,0,3,51,0,0,25,16,1000,ImageNet-1K,1,patch_embed.conv,pit_xs_224,0.9,pit
pit_xs_distilled_224,11003984,239,0,3,52,0,0,25,16,1000,ImageNet-1K,1,patch_embed.conv,pit_xs_distilled_224,0.9,pit
pnasnet5large,86057668,1142,0,373,1,0,50,201,0,1000,ImageNet-1K,343,cell_9.comb_iter_2_left.separable_2.depthwise_conv2d,pnasnet5large,0.911,nasnet
poolformer_m36,56172520,488,0,76,1,0,36,0,0,1000,ImageNet-1K,14,network.1.proj,poolformer_m36,0.95,poolformer
poolformer_m48,73473448,644,0,100,1,0,48,0,0,1000,ImageNet-1K,18,network.1.proj,poolformer_m48,0.95,poolformer
poolformer_s12,11915176,176,0,28,1,0,12,0,0,1000,ImageNet-1K,6,network.1.proj,poolformer_s12,0.9,poolformer
poolformer_s24,21388968,332,0,52,1,0,24,0,0,1000,ImageNet-1K,10,network.1.proj,poolformer_s24,0.9,poolformer
poolformer_s36,30862760,488,0,76,1,0,36,0,0,1000,ImageNet-1K,14,network.1.proj,poolformer_s36,0.9,poolformer
pvt_v2_b0,3666760,175,0,18,41,0,0,30,13,1000,ImageNet-1K,15,stages.2.blocks.1.mlp.dwconv,pvt_v2_b0,0.9,pvt
pvt_v2_b1,14009000,175,0,18,41,0,0,30,13,1000,ImageNet-1K,15,stages.2.blocks.1.mlp.dwconv,pvt_v2_b1,0.9,pvt
pvt_v2_b2,25362856,325,0,33,81,0,0,53,21,1000,ImageNet-1K,29,stages.2.blocks.5.mlp.dwconv,pvt_v2_b2,0.9,pvt
pvt_v2_b2_li,22553512,363,0,36,81,0,0,56,21,1000,ImageNet-1K,17,stages.2.downsample.proj,pvt_v2_b2_li,0.9,pvt
pvt_v2_b3,45238696,553,0,57,141,0,0,89,33,1000,ImageNet-1K,53,stages.2.blocks.17.mlp.dwconv,pvt_v2_b3,0.9,pvt
pvt_v2_b4,62556072,800,0,83,206,0,0,128,46,1000,ImageNet-1K,79,stages.2.blocks.26.mlp.dwconv,pvt_v2_b4,0.9,pvt
pvt_v2_b5,81956008,1009,0,105,261,0,0,161,57,1000,ImageNet-1K,101,stages.2.blocks.39.mlp.dwconv,pvt_v2_b5,0.9,pvt
regnetv_040,20640640,475,0,115,1,22,0,66,0,1000,ImageNet-1K,61,s3.b4.conv2,regnetv_040,1.0,regnet
regnetv_064,30576052,546,0,130,1,25,4,75,0,1000,ImageNet-1K,56,s3.b2.conv2,regnetv_064,1.0,regnet
regnetx_002,2684792,293,13,44,1,13,0,44,0,1000,ImageNet-1K,28,s4.b2.conv2.conv,regnetx_002,0.875,regnet
regnetx_004,5157512,473,22,71,1,22,0,71,0,1000,ImageNet-1K,40,s4.b2.conv2.conv,regnetx_004,0.875,regnet
regnetx_006,6196040,353,16,53,1,16,0,53,0,1000,ImageNet-1K,33,s4.b1.conv2.conv,regnetx_006,0.875,regnet
regnetx_008,7259656,353,16,53,1,16,0,53,0,1000,ImageNet-1K,33,s3.b6.conv2.conv,regnetx_008,0.875,regnet
regnetx_016,9190136,393,18,59,1,18,0,59,0,1000,ImageNet-1K,33,s3.b4.conv2.conv,regnetx_016,0.875,regnet
regnetx_032,15296552,533,25,80,1,25,0,80,0,1000,ImageNet-1K,42,s3.b5.conv2.conv,regnetx_032,0.875,regnet
