ModelName,Response,Corr,Trial,CorrRes,Duration,Feedback
imagenet/mobilenet_v1_100_224/feature_vector,3,1,5,3,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,6,2,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,3,1,7,3,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,8,2,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,1,0,9,2,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,10,1,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,11,1,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,12,2,1500,True
imagenet/mobilenet_v1_100_224/feature_vector,3,1,13,3,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,14,1,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,15,2,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,2,0,16,3,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,17,1,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,3,0,18,2,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,2,0,19,1,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,3,1,20,3,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,21,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,3,1,22,3,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,23,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,24,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,25,2,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,26,2,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,27,2,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,28,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,29,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,30,2,750,True
imagenet/mobilenet_v1_100_224/feature_vector,3,1,31,3,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,0,32,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,33,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,34,2,750,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,35,1,750,True
imagenet/mobilenet_v1_100_224/feature_vector,3,1,36,3,750,True
imagenet/mobilenet_v1_100_224/feature_vector,2,0,37,3,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,1,1,38,1,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,2,1,39,2,1000,True
imagenet/mobilenet_v1_100_224/feature_vector,1,0,40,2,1500,True
