Model,Count
resnet101,1
resnet152,1
resnetrs50,1
resnetv2_50d_evos,1
resnetv2_101x1_bitm,1
resnetv2_152x4_bitm,1
resnest26d,1
resnest50d,1
resnest50d_1s4x24d,1
resnest50d_4s2x40d,1
resnest101e,1
resnest200e,1
resnest269e,1
resnet32ts,1
resmlp_24_224_dino,1
resmlp_24_distilled_224,1
resmlp_36_224,1
resmlp_36_distilled_224,1
resmlp_big_24_224,1
resmlp_big_24_224_in22ft1k,1
resmlp_big_24_distilled_224,1
resnest14d,1
res2net50_26w_8s,1
res2net50_48w_2s,1
res2net101_26w_4s,1
res2next50,1
resmlp_12_224,1
resmlp_12_224_dino,1
resmlp_12_distilled_224,1
resmlp_24_224,1
seresnext26ts,1
seresnext50_32x4d,1
seresnext101_32x8d,1
seresnext101d_32x8d,1
seresnextaa101d_32x8d,1
skresnet18,1
skresnet34,1
skresnext50_32x4d,1
sequencer2d_l,1
sequencer2d_m,1
sequencer2d_s,1
seresnet33ts,1
seresnet50,1
seresnet152d,1
seresnext26d_32x4d,1
seresnext26t_32x4d,1
rexnet_200,1
sebotnet33ts_256,1
sehalonet33ts,1
selecsls42b,1
selecsls60,1
selecsls60b,1
semnasnet_075,1
semnasnet_100,1
resnext26ts,1
resnext50_32x4d,1
resnext50d_32x4d,1
resnext101_32x8d,1
resnext101_64x4d,1
rexnet_100,1
rexnet_130,1
rexnet_150,1
swinv2_base_window16_256,1
swinv2_cr_small_224,1
swinv2_cr_small_ns_224,1
swinv2_cr_tiny_ns_224,1
swinv2_large_window12_192_22k,1
swinv2_large_window12to16_192to256_22kft1k,1
swinv2_large_window12to24_192to384_22kft1k,1
swinv2_small_window8_256,1
swin_s3_small_224,1
swin_s3_tiny_224,1
swin_small_patch4_window7_224,1
swin_tiny_patch4_window7_224,1
swinv2_base_window8_256,1
swinv2_base_window12_192_22k,1
swinv2_base_window12to16_192to256_22kft1k,1
swinv2_base_window12to24_192to384_22kft1k,1
swin_base_patch4_window7_224_in22k,1
swin_base_patch4_window12_384,1
swin_base_patch4_window12_384_in22k,1
swin_large_patch4_window7_224,1
swin_large_patch4_window7_224_in22k,1
swin_large_patch4_window12_384,1
swin_large_patch4_window12_384_in22k,1
swin_s3_base_224,1
spnasnet_100,1
ssl_resnet18,1
ssl_resnet50,1
ssl_resnext50_32x4d,1
ssl_resnext101_32x4d,1
ssl_resnext101_32x8d,1
ssl_resnext101_32x16d,1
swin_base_patch4_window7_224,1
tnt_s_patch16_224,1
tresnet_l,1
tresnet_l_448,1
tresnet_m,1
tresnet_m_448,1
tresnet_m_miil_in21k,1
tresnet_v2_l,1
tresnet_xl,1
tf_mixnet_l,1
tf_mixnet_m,1
tf_mixnet_s,1
tinynet_a,1
tinynet_b,1
tinynet_c,1
tinynet_d,1
tinynet_e,1
swsl_resnext101_32x16d,1
tf_efficientnet_b2_ap,1
tf_efficientnet_b5,1
tf_efficientnet_b7_ns,1
