Categorical Attribute,Continuous Attribute,F-Statistic,p-value
Key Distinguishing Feature,Number of Normalization Layers,9.927307395484736,6.978040395636053e-67
Key Distinguishing Feature,Number of Bottlenecks,9.775268376598863,7.07233971047976e-66
Architecture Family,Number of Pooling Layers,9.756469126573458,4.404797229559276e-67
Architecture Family,Number of Residual Blocks,9.712631334058422,8.700058811622143e-67
Most Common Activation Function,Number of Recurrent Layers,9.616690554190555,3.1959003091348734e-06
Architecture Family,Number of Bottlenecks,9.583610412431481,6.502206635714104e-66
Architecture Family,Number of Normalization Layers,9.537762042998203,1.3327930902245845e-65
Key Distinguishing Feature,Number of Convolutional Layers,9.023599088246256,8.460639415374813e-61
Architecture Family,Number of Convolutional Layers,8.838160542964511,9.251258370225713e-61
Origin,Number of Attention Layers,8.577112926700526,0.00020990978193134423
Origin,Number of Bottlenecks,8.256755771167287,0.0002869076316185748
Primary Application,Number of Attention Layers,8.222017694423354,1.2431427131533142e-09
Origin,Year Made,7.7521252376674505,4.295047845892395e-05
Training Type,Number of Residual Blocks,7.6839812182896505,0.0005019925309519576
Training Type,Number of Highest Internal Layer Parameters,7.328885493240807,0.0007168444978972119
Training Dataset,Year Made,6.665824127123632,4.553552968942365e-06
Primary Application,Number of First Layer Parameters,6.450308493878471,1.3203006650852082e-06
Training Dataset,Number of Attention Layers,6.3941010684403725,4.725983882771629e-05
Most Common Pooling Type,Number of Normalization Layers,6.2971057081938095,7.035400297815324e-08
Training Type,Number of Last Layer Parameters,6.018243901586106,0.0025806023640181923
Training Type,Number of Parameters,6.001932676595393,0.002608764224509346
Primary Application,Number of Pooling Layers,5.672012713327472,2.2245308481313864e-06
Training Dataset,Number of Dense Layers,5.564005213443536,0.00020742957169010167
Primary Application,Number of Highest Internal Layer Parameters,5.305929735887516,2.4080423489038687e-05
Key Distinguishing Feature,Number of Layers,5.034096764786809,8.967093713443493e-31
Key Distinguishing Feature,Number of Lowest Internal Layer Parameters,5.028957541141338,1.8426284342066886e-28
Most Common Activation Function,Number of Last Layer Parameters,5.009722438204628,0.0019410618466434491
Architecture Family,Number of Layers,4.830611661311745,8.393530946591846e-30
Architecture Family,Number of Lowest Internal Layer Parameters,4.800423084076224,2.0775535676549613e-27
Training Dataset,Number of Convolutional Layers,3.8526104172590063,0.004195572575891834
Training Type,Number of Pooling Layers,3.782579986150155,0.023252995631501076
Origin,Number of Layers,3.732950282321455,0.011122265049692846
Most Common Pooling Type,Number of Layers,3.587300027888232,0.0004337291511507998
Primary Application,Number of Parameters,3.5727906021679994,0.0008775903326977754
Most Common Pooling Type,Number of Lowest Internal Layer Parameters,3.536104594561593,0.0005192119432920928
Most Common Activation Function,Number of Pooling Layers,3.5357947032794983,0.014546748961781751
Most Common Activation Function,Number of Layers,3.406239662173742,0.0173401019931943
Key Distinguishing Feature,Number of Highest Internal Layer Parameters,3.35430284175847,1.1861304330071267e-15
Most Common Pooling Type,Number of Last Layer Parameters,3.2614415952400226,0.001195598999759803
Primary Application,Number of Convolutional Layers,3.25719580496926,0.002080951167565723
Primary Application,Year Made,3.2144074079623652,0.00405449237343307
Architecture Family,Number of Highest Internal Layer Parameters,3.2106037801216445,6.272165458841431e-15
Most Common Pooling Type,Number of Pooling Layers,3.1508016861899546,0.0016481860461601426
Most Common Pooling Type,Number of Output Features,3.0944300334539503,0.001951829732405801
Most Common Pooling Type,Number of Highest Internal Layer Parameters,2.9962682002649483,0.00265647930697792
Primary Application,Number of Residual Blocks,2.9634344171768974,0.00458000905188877
Key Distinguishing Feature,Number of Parameters,2.9509861246296136,1.8623948841777848e-13
Architecture Family,Number of Parameters,2.831310746027055,8.625419292163682e-13
Most Common Activation Function,Number of First Layer Parameters,2.740172355301276,0.042581817847822355
Key Distinguishing Feature,Number of Output Features,2.5072045107186076,6.771062997442789e-10
Training Dataset,Number of Layers,2.444828832646931,0.03290889127707353
Architecture Family,Number of Output Features,2.4010374405185058,2.733657131852716e-09
Primary Application,Number of Normalization Layers,2.270314321402256,0.02736457066504003
Training Dataset,Number of Normalization Layers,2.1674425766753465,0.07113742042202581
Most Common Pooling Type,Number of Parameters,2.0733369761419085,0.03628847876036304
Key Distinguishing Feature,Number of Recurrent Layers,2.0453585783317516,1.999172251716656e-06
Training Type,Number of Output Features,2.0213004457234076,0.13328895859891607
Training Type,Number of Attention Layers,1.939439007785624,0.14459336761562913
Key Distinguishing Feature,Number of Last Layer Parameters,1.8156380524612574,9.814317379016108e-05
Architecture Family,Number of Last Layer Parameters,1.7370696843017386,0.0002459352996823436
Training Type,Number of Lowest Internal Layer Parameters,1.729023663397843,0.17834205191144695
Primary Application,Number of Bottlenecks,1.6930869031603184,0.10764116229697324
Training Dataset,Crop Percentage,1.5498517839837924,0.20050521608166172
Primary Application,Number of Last Layer Parameters,1.3725467135994507,0.22334024854713846
Training Dataset,Number of Bottlenecks,1.187747449661671,0.314894611644512
Origin,Number of Pooling Layers,1.1635027857486397,0.3130222749842606
Origin,Number of Parameters,1.0296585473121134,0.3788283515902258
Origin,Number of Output Features,1.0274362529548444,0.37982489820326343
Training Type,Number of Layers,0.9633861507825292,0.382125720104022
Primary Application,Number of Layers,0.9442251775784032,0.4715004783496708
Primary Application,Number of Lowest Internal Layer Parameters,0.8747152266071656,0.5130691615945184
Training Type,Number of Normalization Layers,0.8414351672016253,0.4315477802286888
Primary Application,Number of Output Features,0.7646030660365921,0.617235206974013
Training Dataset,Number of First Layer Parameters,0.7466237142681871,0.5245804315659148
Training Dataset,Number of Residual Blocks,0.7363783502620239,0.5673369600562954
Training Type,Number of First Layer Parameters,0.7216750808556944,0.4863513259707777
Training Dataset,Number of Pooling Layers,0.5536449111291922,0.6964263653779096
Most Common Activation Function,Number of Lowest Internal Layer Parameters,0.47072820497443923,0.7027949368980816
