Last Layer Parameters,Layers,Attention Layers,Crop Percentage,Bottlenecks,Residual Blocks,Origin,First Layer Parameters,Family,Training Dataset,Pooling Layers,Normalization Layers,Output Features,Conv Layers,Recurrent Layers,Lowest Internal Layer Parameters,MAX RF,Architecture,Highest Internal Layer Parameters,Max RF,RF25 Layer Number,Model,Parameters,RF25 Layer Name,Dense Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
,18.5,0.0,,0.0,0.0,keras,,regnetx,ImageNet-1K,0.0,56.0,1000,56.0,0.0,,,,,,,regnetx064,26.283464,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
,24.5,0.0,,0.0,0.0,keras,,regnetx,ImageNet-1K,0.0,74.0,1000,74.0,0.0,,,,,,,regnetx080,39.663112,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
,20.5,0.0,,0.0,0.0,keras,,regnetx,ImageNet-1K,0.0,62.0,1000,62.0,0.0,,,,,,,regnetx120,46.20244,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
,23.5,0.0,,0.0,0.0,keras,,regnetx,ImageNet-1K,0.0,71.0,1000,71.0,0.0,,,,,,,regnetx160,54.389704,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
,24.5,0.0,,0.0,0.0,keras,,regnetx,ImageNet-1K,0.0,74.0,1000,74.0,0.0,,,,,,,regnetx320,107.973576,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average
,19.7,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,44.0,1000,70.0,0.0,,,,,,,regnety002,3.183844,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,23.9,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,53.0,1000,85.0,0.0,,,,,,,regnety004,4.371296,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,22.5,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,50.0,1000,80.0,0.0,,,,,,,regnety006,6.08492,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,21.1,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,47.0,1000,75.0,0.0,,,,,,,regnety008,6.293056,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,39.3,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,86.0,1000,140.0,0.0,,,,,,,regnety016,11.255102,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
